date,price,supply,capital,trade,wiki
2017-05-02,1452.0762875,16307212.5,23679316586.473595,86306466.16076525,17143
2017-05-03,1507.5768571428573,16308862.5,24586863671.325005,98768076.02241386,17277
2017-05-04,1508.292125,16310962.5,24601696289.92031,178681011.55674708,19238
2017-05-05,1533.3350714285714,16312575.0,25012643352.80893,136654833.4594339,16900
2017-05-06,1560.4102,16314675.0,25457585279.685,68907283.75413479,17793
2017-05-07,1535.8684285714285,16316762.5,25060400380.24821,62492472.18849168,17777
2017-05-08,1640.619225,16319012.5,26773285640.515312,139627613.28551883,19666
2017-05-09,1721.2849714285715,16320950.0,28093005954.43714,167512042.52841023,23935
2017-05-10,1762.88625,16322800.0,28775239681.5,131817395.91052718,24385
2017-05-11,1820.9905625,16324487.5,29726737675.149216,151505814.83102825,25185
2017-05-12,1720.4785,16326412.5,28089241688.38125,139214052.65164253,39626
2017-05-13,1771.9200125,16328387.5,28932596583.104843,111469417.308369,47817
2017-05-14,1776.3165,16330437.5,29008025583.46875,61547076.230614714,43113
2017-05-15,1723.1269375,16332562.5,28143078402.152344,102816017.7328264,91099
2017-05-16,1739.031975,16334212.5,28405717823.94469,108385267.36933565,88685
2017-05-17,1807.4850625,16336150.0,29527347103.759373,132248945.78021987,59979
2017-05-18,1899.0828875,16337925.0,31027073784.75844,110766531.51847771,45865
2017-05-19,1961.5204875,16339975.0,32051195727.737812,154137281.04762277,38662
2017-05-20,2052.9097875,16342037.5,33548728731.442036,136549462.17992795,33314
2017-05-21,2046.5344625,16343875.0,33448303438.292187,128454137.15352945,31659
2017-05-22,2090.6623125,16345700.0,34173338961.43125,295717901.86295235,70929
2017-05-23,2287.7102875,16347800.0,37399030237.9925,203482045.58008078,77232
2017-05-24,2379.1938333333333,16349725.0,38899164896.69583,248904779.14844665,70266
2017-05-25,2387.2062857142855,16351762.5,39035030222.50714,401279047.70303935,73348
2017-05-26,2211.976857142857,16353675.0,36173950629.23572,324426983.6410173,61597
2017-05-27,2014.0529625,16355775.0,32941397092.733437,321289966.61279124,41682
2017-05-28,2192.9808,16357837.5,35872423567.02,185870201.0672532,32640
2017-05-29,2275.9307,16359725.0,37233600371.057495,133826839.14723794,35534
